nx,nz,external_pressure,ux_error,uz_error,pressure_error,stationarity,exact_stationarity,exact_divergence,qp_iterations,polish_iterations
128,8,0,9.99200722162641e-15,6.05839672252128e-16,2.07863843731376e-14,5.63119332602913e-15,3.5527136788005e-15,0,12,1
128,8,1,1.02140518265514e-14,5.62199485914209e-16,5.48450174164827e-14,5.16253706450698e-15,3.5527136788005e-15,0,8,1
256,16,0,4.05231403988182e-14,1.23333965125135e-15,6.60409009793111e-14,6.20243343124654e-15,2.66453525910038e-15,0,12,1
256,16,1,3.75255382323303e-14,1.2630315047642e-15,9.10382880192628e-14,6.17561557447743e-15,2.66453525910038e-15,0,8,1
