left,right,factor,global_refine,kkt_tolerance,nx,nz,ny_reynolds,stokes_elements,reynolds_peak,stokes_peak,reynolds_length,stokes_length,reynolds_front,stokes_front,reynolds_front_upper,stokes_front_upper,reynolds_left_censored,stokes_left_censored,reynolds_segments,stokes_segments,stokes_first_relative_x,stokes_lower_trace_front,reynolds_iterations,qp_iterations,polish_iterations,stationarity,min_pressure,min_divergence,complementarity,stokes_seconds,shift
0,24,1,0,1e-11,256,16,4,8192,2.21576761185835,2.1288799493627,6.218625,6.031125,-1.781375,-1.968875,-1.781,-1.9685,1,1,1,1,-7.999625,-1.968875,21,13,3,5.25274268525777e-15,0,-7.84458226542869e-15,1.29701962435575e-14,3.63748975,0
-12,36,1,0,1e-11,512,16,4,16384,2.40180570337221,2.33525638372643,6.031125,5.562375,-1.968875,-2.437625,-1.9685,-2.43725,1,1,1,1,-7.999625,-2.437625,23,15,4,6.75848266240564e-15,0,-2.17240534127175e-14,1.94673704169053e-14,10.5825377083333,0
-36,60,1,0,1e-11,1024,16,4,32768,2.51147885995306,2.45605322796172,5.843625,0,-2.156375,NaN,-2.156,NaN,1,0,1,0,NaN,NaN,25,18,2,5.77315972805081e-15,0,-6.64606001540483e-15,1.15727788927314e-14,23.8920187083333,0
0,24,2,0,1e-11,384,32,8,24576,2.21570309646177,2.12589877260512,6.17175,6.031125,-1.82825,-1.968875,-1.827875,-1.9685,1,1,1,1,-7.999625,-1.968875,41,14,3,8.61810622865278e-15,0,-2.11047008609664e-14,3.67177322272415e-14,19.247011,0
0,24,4,0,1e-11,640,64,16,81920,2.21559222661887,2.12530907104634,6.195,6.031125,-1.805,-1.968875,-1.804625,-1.9685,1,1,1,1,-7.999625,-1.968875,79,14,4,1.59872115546023e-14,0,-4.59516383499427e-14,8.87886174114268e-14,104.886509416667,0
0,24,4,1,1e-11,1024,64,16,131072,2.2155922266203,2.12533414001531,6.195,6.031125,-1.805,-1.968875,-1.804625,-1.9685,1,1,1,1,-7.999625,-1.968875,79,14,4,7.105427357601e-15,0,-1.74653816734732e-13,6.84335747509505e-14,159.01923225,0
0,24,4,0,1e-11,641,64,16,82048,2.21565206148317,2.12526651799285,6.183375,6.04275,-1.816625,-1.95725,-1.81625,-1.956875,1,1,1,1,-7.999625,-1.95725,79,14,4,1.86517468137026e-14,0,-5.96185818258693e-14,7.85301584415513e-14,103.395544125,1
0,24,1,0,1e-12,256,16,4,8192,2.21576761185835,2.1288799493627,6.218625,6.031125,-1.781375,-1.968875,-1.781,-1.9685,1,1,1,1,-7.999625,-1.968875,21,13,3,5.25274268525777e-15,0,-7.84458226542869e-15,1.29701962435575e-14,5.95180791666667,0
