nx,r,velocity_inf_difference,pressure_inf_difference,stationarity,min_pressure,min_divergence,complementarity,matrix_difference,converged
6,100,1.94699256717001e-11,3.18469695059775e-10,2.75033901903088e-14,0.117789574642835,-6.60312950151454e-12,4.5752596282965e-11,0,1
6,10000,3.89910326248355e-13,9.15223452579994e-12,2.66063560072638e-12,0.11778957464903,-1.75380543421255e-15,1.10704136570367e-14,0,1
9,100,5.50470780069645e-12,9.89182069588423e-11,2.28254914969028e-14,0,4.15214737592429e-14,1.42413189944982e-11,0,1
9,10000,1.40380393941208e-12,3.93054477854093e-11,3.10714751454097e-12,0,-9.79197192080283e-16,6.54074584276269e-14,0,1
18,100,1.05769282221502e-11,1.81320736203361e-10,3.93975759134524e-14,0,-4.06359534644565e-12,2.60264109945522e-11,0,1
18,10000,8.06870195657616e-12,1.87689419561821e-10,6.87812007598831e-12,0,-8.65607024534872e-15,4.14168313441064e-14,0,1
