nx,iterations,velocity_inf_difference,pressure_inf_difference,stationarity,min_pressure,min_divergence,complementarity,matrix_difference,active_peak,qp_peak,same_cavity
128,8,3.25842291511141e-14,7.09747538117081e-13,2.88657986402541e-15,-7.09747538117081e-13,-3.69478859480005e-15,6.50349947015207e-15,0,1.98695237809712,1.98695237809712,1
256,9,1.18621706919388e-14,2.85822604232901e-13,2.77555756156289e-15,-5.88459661577667e-15,-8.32205254804117e-15,1.69509991185534e-14,0,2.09338475688002,2.09338475687999,1
