table_label,row,column,tex_value,saved_value,passed
tab:stokes-channel-refinement,1,3,416,416.0,True
tab:stokes-channel-refinement,1,4,3,3.0,True
tab:stokes-channel-refinement,1,5,5.7271,5.72708677138569,True
tab:stokes-channel-refinement,1,6,0.0104,0.0104166666666667,True
tab:stokes-channel-refinement,1,7,$1.3\cdot10^{-15}$,1.27166871952371e-15,True
tab:stokes-channel-refinement,2,1,3,3.0,True
tab:stokes-channel-refinement,2,2,384,384.0,True
tab:stokes-channel-refinement,2,3,1600,1600.0,True
tab:stokes-channel-refinement,2,4,2,2.0,True
tab:stokes-channel-refinement,2,5,5.7739,5.77392315140613,True
tab:stokes-channel-refinement,2,6,0.0208,0.0208333333333333,True
tab:stokes-channel-refinement,2,7,$2.6\cdot10^{-15}$,2.60554230427046e-15,True
tab:stokes-channel-refinement,3,1,4,4.0,True
tab:stokes-channel-refinement,3,2,1536,1536.0,True
tab:stokes-channel-refinement,3,3,6272,6272.0,True
tab:stokes-channel-refinement,3,4,4,4.0,True
tab:stokes-channel-refinement,3,5,5.8228,5.82275034705794,True
tab:stokes-channel-refinement,3,6,0.0189,0.0188802083333333,True
tab:stokes-channel-refinement,3,7,$8.3\cdot10^{-15}$,8.32843023922769e-15,True
tab:stokes-channel-refinement,4,1,5,5.0,True
tab:stokes-channel-refinement,4,2,6144,6144.0,True
tab:stokes-channel-refinement,4,3,24832,24832.0,True
tab:stokes-channel-refinement,4,4,3,3.0,True
tab:stokes-channel-refinement,4,5,5.8525,5.85246269164968,True
tab:stokes-channel-refinement,4,6,0.0187,0.0187174479166667,True
tab:stokes-channel-refinement,4,7,$2.1\cdot10^{-14}$,2.11651720926639e-14,True
tab:stokes-three-dimensional,1,2,486,486.0,True
tab:stokes-three-dimensional,1,3,3780,3780.0,True
tab:stokes-three-dimensional,1,4,2,2.0,True
tab:stokes-three-dimensional,1,5,6.5538,6.55375263219374,True
tab:stokes-three-dimensional,1,6,0.0123,0.0123456790123457,True
tab:stokes-three-dimensional,1,7,$6.5\cdot10^{-3}$,0.00653249484265354,True
tab:stokes-three-dimensional,2,2,3888,3888.0,True
tab:stokes-three-dimensional,2,3,28728,28728.0,True
tab:stokes-three-dimensional,2,4,3,3.0,True
tab:stokes-three-dimensional,2,5,6.0014,6.00140802996442,True
tab:stokes-three-dimensional,2,6,0.0183,0.018261316872428,True
