invh,l2,rate_l2,h1,rate_h1,iterations
16,0.000315973508839846,NaN,0.0160112682978433,NaN,6
32,7.95505325765392e-05,1.98986011390322,0.00805295334145291,0.991497712731072,9
64,1.99224101875477e-05,1.99747939581912,0.00403238766517915,0.997883631351155,16
128,4.98277541275533e-06,1.99937073894511,0.00201693258581591,0.999471479186401,30
256,1.24582964665567e-06,1.99984273994494,0.00100855863328477,0.999867905446218,57
