refs,nodes,iterations,pmax,cavfrac,pmin,complementarity,signok
2,65,3,0.0399892294172032,0.230769230769231,-3.46667389989702e-33,2.22788357744068e-33,1
3,225,4,0.0407944712949907,0.311111111111111,-1.70493585314289e-35,6.81776779136495e-35,1
4,833,8,0.0418111206339182,0.352941176470588,-9.24865626963698e-36,1.70684306396996e-34,1
5,3201,13,0.0419264645118248,0.382692908466104,-5.394144659635e-34,3.70907700234049e-34,1
6,12545,22,0.0419439024847014,0.398007174172977,-2.05231909698765e-33,3.56355985730146e-33,1
