elements,active_iterations,active_peak,active_cavity,active_min_pressure,active_min_divergence,newton_iterations,newton_peak,newton_cavity
2048,8,1.98695237809712,5.937,-7.09747538117081e-13,-3.69478859480005e-15,11,1.98695243439938,2.439
8192,9,2.09338475688002,5.937,-5.88459661577667e-15,-8.32205254804117e-15,12,2.09338486431435,2.346
32768,9,2.12388641081308,5.889,-1.46164983119313e-14,-1.75627495632892e-14,12,2.12388647383117,2.343
