smoothing,tolerance,converged,iterations,relative_residual,peak,cavity,reference_cavity,relative_cavity_error,relative_pressure_l2_error,relative_velocity_energy_error,min_pressure,min_divergence,central_path_error,stationarity,divergence_assembly_difference,classification_mismatch_length
0.0001,1e-14,1,16,4.58281759171977e-15,2.09376045066149,0.753,5.937,0.873168266801415,0.00571997323548189,0.000577307958042798,6.90994187453658e-06,4.28171448390961e-07,1.29627388984011e-13,2.73392419813945e-15,0,5.184
1e-06,1e-14,1,15,8.52345177189908e-16,2.09339019491214,1.689,5.937,0.715512885295604,0.000502269547965106,5.52561595188856e-05,6.89727123537004e-08,4.28236106657533e-09,1.16950612401569e-13,2.51906849418666e-15,0,4.248
1e-08,1e-14,1,14,8.50250126533396e-16,2.09338486473319,2.346,5.937,0.604850934815563,4.37176335217362e-05,5.25456994781464e-06,6.89705107542059e-10,4.28152945330479e-11,1.63180070751462e-13,2.61385981896499e-15,0,3.591
1e-10,1e-14,1,13,8.34352409544783e-16,2.09338475836455,3.189,5.937,0.462860030318343,3.74953649754772e-06,4.96546400124901e-07,6.8970452682632e-12,3.96532800707055e-13,1.11694905245649e-13,2.68454701063424e-15,0,2.748
1e-12,1e-14,1,13,1.2593022150635e-15,2.09338475689686,3.939,5.937,0.336533602829712,3.16016542252235e-07,4.65681880034027e-08,6.89704518469316e-14,-4.43769834852293e-14,1.45242149983816e-13,2.35783510019108e-15,0,1.998
1e-14,1e-14,1,13,8.85742654818103e-16,2.09338475688023,4.689,5.937,0.210207175341081,2.60637394955573e-08,4.32421712398811e-09,6.89704518380468e-16,-3.60265032901958e-14,7.36595556213681e-14,2.64830141688973e-15,0,1.248
1e-16,1e-14,1,12,8.38140094982394e-16,2.09338475688002,5.439,5.937,0.0838807478524508,2.09105336202698e-09,3.97337726684225e-10,6.89704518379406e-18,-3.78874782966724e-14,7.30619924634449e-14,2.90739654573713e-15,0,0.498
1e-18,1e-14,1,10,2.41150780429673e-15,2.09338475688004,5.937,5.937,0,1.61750563778329e-10,3.58864203250218e-11,6.89704518379399e-20,-5.04781208373727e-13,7.0036053068724e-14,2.36404206956695e-15,0,0
1e-20,1e-14,1,9,6.87762550172137e-15,2.09338475687998,5.937,5.937,0,1.19302116158073e-11,3.29140113983149e-12,6.89704518379389e-22,-9.29487241715875e-11,6.79330433982008e-14,3.08086889333481e-15,0,0
