smoothing,tolerance,converged,iterations,relative_residual,peak,cavity,reference_cavity,relative_cavity_error,relative_pressure_l2_error,relative_velocity_energy_error,min_pressure,min_divergence,central_path_error,stationarity,divergence_assembly_difference,classification_mismatch_length
1e-16,1e-10,1,8,1.04561168058646e-11,2.09338475687624,5.439,5.937,0.0838807478524508,2.43737145053403e-09,1.44745937826226e-09,6.8970444617193e-18,-9.58731985466602e-08,9.3012243993787e-14,2.48412401759879e-15,0,0.498
1e-16,1e-12,1,10,3.49812134419516e-13,2.09338475687995,5.439,5.937,0.0838807478524508,2.09137922125543e-09,3.99550778724305e-10,6.89704518379298e-18,-4.4125385677227e-09,7.66510566727287e-14,2.2449882862255e-15,0,0.498
1e-18,1e-10,1,8,2.522129857852e-12,2.09338475687983,5.937,5.937,0,3.35040618561712e-10,3.35111477628151e-10,6.89704469816867e-20,-3.3828102666257e-08,7.5856517644877e-14,2.67871207286119e-15,0,0
1e-18,1e-12,1,9,2.9313945202605e-13,2.09338475687995,5.937,5.937,0,1.65263273679198e-10,5.27083939288023e-11,6.89704518379325e-20,-4.03385081702265e-09,7.67823358568714e-14,2.78943534937071e-15,0,0
