n,elements,nodes,hmax,l2_error,h1_seminorm_error,l2_quadrature_relative_change,h1_quadrature_relative_change,iterations,min_pressure,min_multiplier,complementarity,equilibrium,seconds,l2_rate,h1_rate
16,512,289,0.176776695296637,0.00233410184375194,0.039695701851698,4.11598720242768e-08,7.50314648999921e-06,5,-6.93875838260601e-18,-0,1.3877516765212e-17,5.20417042793042e-17,0.353162791666667,NaN,NaN
32,2048,1089,0.0883883476483184,0.000550967623405719,0.0201153078448784,4.88818502079933e-08,5.85945587077066e-06,7,-1.92593934827317e-34,-0,3.85187869654633e-34,2.64545330086463e-17,0.17384075,2.08282806236933,0.980688987371197
64,8192,4225,0.0441941738241592,0.000145820777596222,0.0102025146759257,3.11076703549402e-10,3.52251083287624e-07,10,-1.56482910005399e-34,-0,2.10424013780756e-34,3.25260651745651e-17,0.335798458333333,1.91777124407173,0.979369031293314
128,32768,16641,0.0220970869120796,3.50965577006888e-05,0.00512379095619963,7.23548914271231e-09,1.86073188273899e-07,17,-2.01018937945418e-33,-0,1.25085581269913e-33,3.93023287525995e-17,1.34728591666667,2.05479485804494,0.993641263889188
