refs4,elements,nodal_iterations,nodal_pmax,stabilized_iterations,stabilized_pmax,stabilized_pmin,difference
3,384,4,0.0407944712949907,14,0.0419142937222035,-1.284990662772e-05,0.000606836358934305
4,1536,8,0.0418111206339182,24,0.0419537431383555,-1.8249247487424e-06,0.000215760741333668
5,6144,13,0.0419264645118248,44,0.0419507029341653,-7.85664882104511e-07,3.92216189757246e-05
