delta,radius,steepness,peak_reynolds,peak_stokes,profile_difference_pct,cavity_reynolds,cavity_stokes
0.5,8,0.0625,3.36532693569823,3.37301108762692,0.802699413322756,1.905,2.187
1,4,0.25,5.49395659586371,5.45825822567905,1.29780875546414,2.748,2.937
1,2,0.5,3.80975559624127,3.75722874450432,2.26408484120521,4.812,2.061
1,1,1,2.21576303695913,2.14730040729985,4.09574156849966,6.219,0.843
