delta,radius,steepness,peak_reynolds,peak_stokes,profile_difference_pct,front_reynolds,front_stokes,left_censored,min_pressure,min_divergence,complementarity
0.5,8,0.0625,3.36533279281604,3.36313463539063,0.633727933767539,-6.093875,-5.812625,1,0,-8.46034160989034e-15,2.54467655291636e-14
1,4,0.25,5.49395397626472,5.44646918313774,1.33734530307056,-5.250125,-5.062625,1,0,-9.24389491420121e-15,4.5978093314597e-14
1,2,0.5,3.80978179680641,3.7366013306697,2.48477907347848,-3.187625,-3.093875,1,0,-6.33820366290472e-15,2.75366242109845e-14
1,1,1,2.21576761185835,2.1288799493627,4.51793653251564,-1.781375,-1.968875,1,0,-7.84458226542869e-15,1.29701962435575e-14
