delta,radius,steepness,peak_deviatoric,peak_customary,peak_difference_pct,cavity_deviatoric,cavity_customary,cavity_ratio,iterations_deviatoric,iterations_customary
0.5,8,0.0625,3.37375440095212,3.3566358894206,0.507402421666623,1.935,2.106,1.08837209302326,15,13
1,4,0.25,5.45389979128921,5.43360852612081,0.372050568307317,2.706,2.847,1.05210643015521,15,14
1,2,0.5,3.75594542139772,3.73476869105816,0.563818904793571,1.632,2.073,1.27022058823529,14,14
1,1,1,2.14659000007924,2.12532539164472,0.990622728780663,0.498,1.113,2.23493975903614,13,13
