refs,elements,ndof,iterations,pmax,cavfrac,complementarity
2,96,416,3,5.72708677138569,0.0104166666666667,1.27166871952371e-15
3,384,1600,2,5.77392315140613,0.0208333333333333,2.60554230427046e-15
4,1536,6272,4,5.82275034705794,0.0188802083333333,8.32843023922769e-15
5,6144,24832,3,5.85246269164968,0.0187174479166667,2.11651720926639e-14
