smoothing,tolerance,iterations,converged,relative_residual,central_path_error,scaled_product_error,min_pressure,min_divergence,pmax,cavity,cavity_change,relative_pressure_change
1e-10,1e-10,10,1,8.54524268993419e-11,1.04086696912538e-12,1.04086696912538,6.8970452676859e-12,-4.04450446395536e-08,2.09338475833972,3.189,0,0
1e-10,1e-12,12,1,9.4629218642995e-14,1.23158841903904e-13,0.123158841903904,6.89704526826186e-12,3.96532800707055e-13,2.09338475836441,3.189,0,6.72478172695775e-09
1e-10,1e-14,13,1,8.34352409544783e-16,1.11694905245649e-13,0.111694905245649,6.8970452682632e-12,3.96532800707055e-13,2.09338475836455,3.189,0,6.73263066155879e-09
1e-12,1e-10,10,1,3.69509716563396e-11,2.35240547046791e-13,23.5240547046791,6.89704518443664e-14,-2.78760452642017e-07,2.093384756885,3.939,0,0
1e-12,1e-12,12,1,1.83060712678221e-13,1.39124954885224e-13,13.9124954885224,6.89704518469191e-14,-4.50675009418479e-14,2.09338475689673,3.939,0,4.55741795839738e-09
1e-12,1e-14,13,1,1.2593022150635e-15,1.45242149983816e-13,14.5242149983816,6.89704518469316e-14,-4.43769834852293e-14,2.09338475689686,3.939,0,4.55917396674961e-09
