nx,ny,nz,elements,ndof,iterations,pmax,cavfrac,max_abs_uz,complementarity
9,3,3,486,3780,2,6.55375263219374,0.0123456790123457,0.00653249484265354,2.7769831423725e-15
18,6,6,3888,28728,3,6.00140802996442,0.018261316872428,0.00292782429366151,8.27267503731653e-15
27,9,9,13122,95256,3,5.98062612259845,0.0171467764060357,0.00188024276560057,1.68363130106133e-14
